,smiles,MolWt
297,C1CC=C(C1)C2=CC=CC=C2,144.21699999999998
298,CC1CC1=CC2=CC=CC=C2,144.21699999999998
299,CC(=C1CC1)C2=CC=CC=C2,144.21699999999998
300,CC(CC#C)C1=CC=CC=C1,144.21699999999998
301,C=CCC=CC1=CC=CC=C1,144.21699999999998
302,C=CC=CCC1=CC=CC=C1,144.21699999999998
303,CC1=CCC1C2=CC=CC=C2,144.21699999999998
304,CC=C=C(C)C1=CC=CC=C1,144.21699999999998
305,CC(=C)C=CC1=CC=CC=C1,144.21699999999998
306,C1CC1=CCC2=CC=CC=C2,144.21699999999998
307,CC1CC(=C1)C2=CC=CC=C2,144.21699999999998
308,C=C1CCC1C2=CC=CC=C2,144.21699999999998
309,CC1(CC1=C)C2=CC=CC=C2,144.21699999999998
310,CC1(CC=C1)C2=CC=CC=C2,144.21699999999998
311,CC1=C(CC1)C2=CC=CC=C2,144.21699999999998
312,C=C1CC(C1)C2=CC=CC=C2,144.21699999999998
313,C#CCCCC1=CC=CC=C1,144.21699999999998
314,C=C(C1CC1)C2=CC=CC=C2,144.21699999999998
315,C1CC1C=CC2=CC=CC=C2,144.21699999999998
316,CC1=C(C1C2=CC=CC=C2)C,144.21699999999998
317,CC(=C=CC1=CC=CC=C1)C,144.21699999999998
318,CCCC#CC1=CC=CC=C1,144.21699999999998
319,CC#CC(C)C1=CC=CC=C1,144.21699999999998
320,CC(C)(C#C)C1=CC=CC=C1,144.21699999999998
321,CC(=CC=C)C1=CC=CC=C1,144.217
322,C1=CC=C(C=C1)C(F)Cl,144.57599999999996
323,C1=CC=C(C=C1)SCl,144.62599999999998
324,C1=CC(=CC=[C-]1)C(F)(F)F,145.10299999999998
325,C1=CC=C(C=C1)C=CN=C=O,145.16099999999997
326,C1=CC=C(C=C1)C=CN=[N+]=[N-],145.16499999999996
327,C=C(C1=CC=CC=C1)N=[N+]=[N-],145.16499999999996
328,C1=CC=C(C=C1)N=C(C#N)N,145.16499999999996
329,CCC(C1=CC=CC=C1)[N+]#[C-],145.20499999999996
330,CC(C)(C1=CC=CC=C1)[N+]#[C-],145.20499999999996
331,CC(CC1=CC=CC=C1)[N+]#[C-],145.20499999999996
332,CC(C[N+]#[C-])C1=CC=CC=C1,145.20499999999998
333,C1=CC=C(C=C1)CCCC#N,145.20499999999998
334,CCC=C=NC1=CC=CC=C1,145.20499999999998
335,[C-]#[N+]CCCC1=CC=CC=C1,145.20499999999998
336,CC(=C=NC1=CC=CC=C1)C,145.20499999999998
337,CC=CC[CH+]C1=CC=CC=C1,145.225
338,C1=CC=C(C=C1)C(F)(F)F,146.111
339,C#CC(=CC1=CC=CC=C1)F,146.16399999999996
340,C1=CC=C(C=C1)C=CN[N+]#N,146.17299999999997
341,C=C=CCOC1=CC=CC=C1,146.189
342,COC1=C(C1)C2=CC=CC=C2,146.189
343,C#CCCOC1=CC=CC=C1,146.189
344,C#CCOCC1=CC=CC=C1,146.189
345,CC#CCOC1=CC=CC=C1,146.189
346,COC(C#C)C1=CC=CC=C1,146.189
347,COC=C=CC1=CC=CC=C1,146.189
348,COCC#CC1=CC=CC=C1,146.189
349,C=CC=COC1=CC=CC=C1,146.189
350,CCOC#CC1=CC=CC=C1,146.189
351,CC(C#C)OC1=CC=CC=C1,146.189
352,C=COC=CC1=CC=CC=C1,146.189
353,CC=C(C=O)C1=CC=CC=C1,146.189
354,C=CC(=C)OC1=CC=CC=C1,146.189
355,CC=C=COC1=CC=CC=C1,146.189
356,CC(=[N+]=[N-])CC1=CC=CC=C1,146.19299999999998
357,CC(=C)N=NC1=CC=CC=C1,146.19299999999998
358,CCC(=[N+]=[N-])C1=CC=CC=C1,146.19299999999998
359,CC(C1=CC=CC=C1)C(=C)C,146.23299999999995
360,CC(CC1=CC=CC=C1)C=C,146.23299999999995
361,CC1CC1(C)C2=CC=CC=C2,146.23299999999998
362,CCC1(CC1)C2=CC=CC=C2,146.23299999999998
363,CC(C)C=CC1=CC=CC=C1,146.23299999999998
364,CC(=CCC1=CC=CC=C1)C,146.23299999999998
365,CC1(CC1C2=CC=CC=C2)C,146.23299999999998
366,CC1C(C1C2=CC=CC=C2)C,146.23299999999998
367,CC=C(C)CC1=CC=CC=C1,146.23299999999998
368,CCC(=CC1=CC=CC=C1)C,146.23299999999998
369,CCCC=CC1=CC=CC=C1,146.23299999999998
370,CCC1CC1C2=CC=CC=C2,146.23299999999998
371,CC1CCC1C2=CC=CC=C2,146.23299999999998
372,C=CCCCC1=CC=CC=C1,146.23299999999998
373,CCC(=CC)C1=CC=CC=C1,146.23299999999998
374,CC(C)C(=C)C1=CC=CC=C1,146.23299999999998
375,CCCC(=C)C1=CC=CC=C1,146.23299999999998
376,CCC=C(C)C1=CC=CC=C1,146.23299999999998
377,CC(=C(C)C1=CC=CC=C1)C,146.23299999999998
378,CCC(=C)CC1=CC=CC=C1,146.23299999999998
379,CC(CC=C)C1=CC=CC=C1,146.233
380,CC1(CCC1)C2=CC=CC=C2,146.233
381,C1CCC(C1)C2=CC=CC=C2,146.233
382,CCC(C=C)C1=CC=CC=C1,146.233
383,CC=CC(C)C1=CC=CC=C1,146.233
384,CC1CC1CC2=CC=CC=C2,146.233
385,CC=CCCC1=CC=CC=C1,146.233
386,C1CC1CCC2=CC=CC=C2,146.233
387,CC(C1CC1)C2=CC=CC=C2,146.233
388,CC(C)(C=C)C1=CC=CC=C1,146.233
389,CCC=CCC1=CC=CC=C1,146.233
390,CC(=C)CCC1=CC=CC=C1,146.233
391,CC1(CC1)CC2=CC=CC=C2,146.233
392,C1CC(C1)CC2=CC=CC=C2,146.233
393,CC1CC(C1)C2=CC=CC=C2,146.233
394,C1=CC=C(C=C1)OC(=O)C#N,147.13299999999998
395,C1=CC=C(C=C1)C#C[N+](=O)[O-],147.13299999999998
396,CC=C(C1=CC=CC=C1)N=O,147.17699999999994
397,CC(C1=CC=CC=C1)N=C=O,147.17699999999996
398,COC(C1=CC=CC=C1)[N+]#[C-],147.17699999999996
399,C1=CC=C(C=C1)CC=CN=O,147.17699999999996
400,C1=CC=C(C=C1)C=CCN=O,147.17699999999996
401,CC(=CC1=CC=CC=C1)N=O,147.17699999999996
402,C1=CC=C(C=C1)CC#CON,147.17699999999996
403,C1COC(=N1)C2=CC=CC=C2,147.177
404,CC(=CN=O)C1=CC=CC=C1,147.177
405,C1C(C1N=O)C2=CC=CC=C2,147.177
406,[C-]#[N+]CCOC1=CC=CC=C1,147.177
407,C1=CC=C(C=C1)CCN=C=O,147.177
408,CC(C1=CC=CC=C1)N=[N+]=[N-],147.18099999999998
409,C1=CC=C(C=C1)CCN=[N+]=[N-],147.18099999999998
410,C=C(CC1=CC=CC=C1)CN,147.22099999999995
411,C1CNCC1C2=CC=CC=C2,147.22099999999998
412,CC(C)([CH2-])CC1=CC=CC=C1,147.24099999999999
413,C[Si](C=C)C1=CC=CC=C1,147.273
414,C1=CC=C(C=C1)[N+](=O)NC#N,148.14499999999998
415,C1=CC=C(C=C1)COC=[N+]=[N-],148.16499999999996
416,CC(=[N+]=[N-])OC1=CC=CC=C1,148.165
417,C1=CC=C(C=C1)C=CC=CF,148.17999999999995
418,C=CC=C(C1=CC=CC=C1)F,148.17999999999995
419,C=C(C=CC1=CC=CC=C1)F,148.17999999999998
420,C#CC(CC1=CC=CC=C1)F,148.17999999999998
421,CC(C1=CC=CC=C1)OC=C,148.20499999999996
422,CC(=CC1=CC=CC=C1)OC,148.20499999999996
423,CC=C(C1=CC=CC=C1)OC,148.20499999999996
424,CC(=COC1=CC=CC=C1)C,148.20499999999998
425,CCOC=CC1=CC=CC=C1,148.20499999999998
426,C1C(O1)CCC2=CC=CC=C2,148.20499999999998
427,CC(C=C)OC1=CC=CC=C1,148.20499999999998
428,CC(=COC)C1=CC=CC=C1,148.20499999999998
429,CCOC(=C)C1=CC=CC=C1,148.20499999999998
430,C1CC(C1)(C2=CC=CC=C2)O,148.20499999999998
431,COC1CC1C2=CC=CC=C2,148.20499999999998
432,C=CCOCC1=CC=CC=C1,148.20499999999998
433,CCC=COC1=CC=CC=C1,148.20499999999998
434,CC(=C)OCC1=CC=CC=C1,148.20499999999998
435,COCC=CC1=CC=CC=C1,148.20499999999998
436,CC=CCOC1=CC=CC=C1,148.20499999999998
437,CC=COCC1=CC=CC=C1,148.20499999999998
438,C1CC1COC2=CC=CC=C2,148.20499999999998
439,CC(=C)COC1=CC=CC=C1,148.20499999999998
440,COC(=C)CC1=CC=CC=C1,148.20499999999998
441,COC1(CC1)C2=CC=CC=C2,148.20499999999998
442,C1CC(C1)OC2=CC=CC=C2,148.20499999999998
443,CC(C=CO)C1=CC=CC=C1,148.20499999999998
444,C=CCCOC1=CC=CC=C1,148.20499999999998
445,COC(C=C)C1=CC=CC=C1,148.205
446,COC=CCC1=CC=CC=C1,148.205
447,CC#CSC1=CC=CC=C1,148.23
448,C1=CC=C(C=C1)SC2C=C2,148.23
449,CSC#CC1=CC=CC=C1,148.23
450,C#CCSC1=CC=CC=C1,148.23
451,CCC(C)(C)C1=CC=CC=C1,148.24899999999997
452,CCCCCC1=CC=CC=C1,148.249
453,CC(C)CCC1=CC=CC=C1,148.249
454,CCC(C)CC1=CC=CC=C1,148.249
455,CC(C)C(C)C1=CC=CC=C1,148.249
456,CC(C)(C)CC1=CC=CC=C1,148.249
457,CCC(CC)C1=CC=CC=C1,148.249
458,CCCC(C)C1=CC=CC=C1,148.249
459,CCC[Si]C1=CC=CC=C1,148.28099999999998
460,C1=CC=C(C=C1)C2(C#C2)Cl,148.59199999999998
461,C1=CC=C2C(=C1)[Ge]2,148.70799999999997
462,C=C(C1=CC=CC=C1)[N+](=O)[O-],149.14899999999997
463,C1=CC=C(C=C1)OCN=C=O,149.14899999999997
464,C1=CC=C(C=C1)C=C[N+](=O)[O-],149.14899999999997
465,C1=CC=C(C=C1)N=NN=NN,149.15699999999998
466,[C-]#[N+]C(CF)C1=CC=CC=C1,149.16799999999998
467,[C-]#[N+]CC(C1=CC=CC=C1)F,149.16799999999998
468,CC(CC1=CC=CC=C1)N=O,149.19299999999996
469,CC(C)(C1=CC=CC=C1)N=O,149.19299999999996
470,CCC(C1=CC=CC=C1)N=O,149.19299999999996
471,C1=CC=C(C=C1)C=CCNO,149.19299999999998
472,CC(C1=CC=CC=C1)N=NN,149.19699999999997
473,C1=CC=C(C=C1)CSC#N,149.218
474,C1=CC=C(C=C1)CN=C=S,149.218
475,[C-]#[N+]CSC1=CC=CC=C1,149.218
476,CC(CCC1=CC=CC=C1)N,149.23699999999997
477,CC(C1=CC=CC=C1)N(C)C,149.23699999999997
478,CC(CC1=CC=CC=C1)NC,149.23699999999997
479,CCC(C1=CC=CC=C1)NC,149.23699999999997
480,CCN(CC)C1=CC=CC=C1,149.237
481,C[Si](C)CC1=CC=CC=C1,149.289
482,C1=CC=C(C=C1)C=CP=O,150.11699999999996
483,C1=CC=C(C=C1)C(C(=O)[O-])N,150.15699999999995
